skey,fstvl_nm,opmt_place,fstvl_bgnde,fstvl_endde,fstvl_cn,mnnst,auspc_instt,suprt_instt,telno,hmpg,relate_info,rdnmadr,lnm_adres,la,lo,data_stdde
1,해운대 북극곰축제,해운대해수욕장,2019-01-05 오전 12:00:00,2019-01-06 오전 12:00:00,겨울바다 수영입수식 및 축하공연 버스킹 등,부산일보,부산일보,부산광역시,051-888-5054,http://bear.busan.com/ko/,달맞이 언덕 문텐로드,부산광역시 해운대구 중1동,부산광역시 해운대구 중1동,35.15790016,129.1458546,2019-09-23 오전 12:00:00
2,낙동강유채꽃 축제,대저생태공원,2019-04-06 오전 12:00:00,2019-04-14 오전 12:00:00,유채꽃 관람 체험 및 공연프로그램 등,(사)부산문화관광축제조직위원회,부산광역시,BNK,051-888-5222,http://www.bfo.or.kr/main/index.asp,대저생태공원 오토캠핑장,부산광역시 강서구 대저1동,부산광역시 강서구 대저1동 2314-11,35.20984733,128.9845542,2019-09-23 오전 12:00:00
3,원도심활성화 축제,원도심,2019-05-25 오전 12:00:00,2019-05-26 오전 12:00:00,원도심 야경투어및 관광명소 탐방,(사)부산문화관광축제조직위원회,부산광역시,BNK,051-888-5221,http://www.bfo.or.kr/main/index.asp,용두산공원 태종대 영도대교 도개,부산광역시 중구 중구로,부산광역시 중구 중구로 120,35.10619853,129.0323505,2019-09-23 오전 12:00:00
4,부산바다축제,부산5개해수욕장,2019-08-02 오전 12:00:00,2019-08-06 오전 12:00:00,개막행사 물의난장 음악공연 등,(사)부산문화관광축제조직위원회,부산광역시,BNK,051-888-5224,http://www.bfo.or.kr/main/index.asp,광안리 송정 송도해수욕장,부산광역시 수영구 민락동,부산광역시 수영구 민락동,35.153968,129.119989,2019-09-23 오전 12:00:00
5,부산국제록페스티벌,삼락생태공원,2019-07-27 오전 12:00:00,2019-07-28 오전 12:00:00,국내외 록밴드 라이브공연,(사)부산문화관광축제조직위원회,부산광역시,"BNK, 대선주조",051-888-5222,http://www.bfo.or.kr/main/index.asp,렛츠런파크,부산광역시 사상구 삼락동,부산광역시 사상구 삼락동29-49,35.16833555,128.9733583,2019-09-23 오전 12:00:00
6,부산불꽃축제,광안리해변,2019-11-02 오전 12:00:00,2019-11-02 오전 12:00:00,"해외초청 불꽃쇼, 첨단멀티 불꽃쇼",(사)부산문화관광축제조직위원회,부산광역시,"BNK, 고려제강",051-888-5222,http://www.bfo.or.kr/main/index.asp,광안대교,부산광역시 수영구 민락동,부산광역시 수영구 민락동,35.153968,129.119989,2019-09-23 오전 12:00:00
7,부산크리스마스트리축제,광복로일원,2019-11-16 오전 12:00:00,2020-01-05 오전 12:00:00,"트리점등식 문화공연, 사랑나눔행사",크리스마스트리축제위원회,(사)부산기독교총연합회,부산광역시,051-888-5221,http://bctf.kr/g5/,"광복로일원, 자갈치시장",부산광역시 중구 광복로 6번길,부산광역시 중구 광복로 6번길,35.09929696,129.0258061,2019-09-23 오전 12:00:00
8,부산시민의종 타종식,용두산공원,2019-12-31 오전 12:00:00,2020-01-01 오전 12:00:00,"시민의종 타종, 문화공연",(사)부산문화관광축제조직위원회,부산광역시,BNK,051-888-5224,http://www.bfo.or.kr/main/index.asp,용두산공원,부산광역시 해운대구 중동,부산광역시 해운대구 중동 1015,35.15790016,129.1724709,2019-09-23 오전 12:00:00
9,부산항축제,북항 및 국립해양박물관 일원,2019-05-25 오전 12:00:00,2019-05-26 오전 12:00:00,"부산항불꽃쇼, 부산항투어, 해양레저체험 등",(사)부산문화관광축제조직위원회,"부산광역시, 부산지방해양수산, 부산항만공사",-,051-888-5357,http://www.bfo.or.kr,부산항축제,부산광역시 동구 충장대로 206,부산광역시 동구 초량동 45-39,35.11774625,129.0491459,2019-09-23 오전 12:00:00
10,조선통신사 축제,"광복로일원, 용두산공원",2019-05-03 오전 12:00:00,2019-05-06 오전 12:00:00,"조선통신사 행렬재현, 마상재, 新조선통신사 프로그램 등",부산문화재단,부산광역시,-,051-888-5092,http://tongsinsa.com/html/,용두산공원,부산광역시 중구 광복동,부산광역시 중구 용두산길 37-55,35.1009305,129.0324434,2019-09-23 오전 12:00:00
